,cell,FOV,chrnum,x_hat,y_hat,z_hat,fiber,finalcellID,hyb
0,,0.0,8.0,227.52,389.457,28.49514563106796,0.0,1.0,51.0
0,,0.0,8.0,240.3825,405.85400000000004,28.520631067961165,1.0,1.0,56.5
0,,0.0,8.0,245.406,402.703,29.075242718446603,2.0,1.0,57.0
0,,0.0,8.0,814.865,471.341,24.17718446601942,0.0,3.0,50.5
0,,0.0,8.0,838.0925,441.6535,24.491504854368934,1.0,3.0,58.0
0,,0.0,8.0,1712.088,359.6090000000001,33.0752427184466,0.0,4.0,55.0
0,,0.0,8.0,1898.5414999999998,510.496,42.45509708737863,0.0,5.0,37.5
0,,0.0,8.0,104.414,493.022,30.735436893203882,0.0,6.0,66.0
0,,0.0,8.0,1136.418,647.695,23.849514563106798,0.0,7.0,57.0
0,,0.0,8.0,1139.4314999999997,611.5625,41.08252427184466,1.0,7.0,61.5
0,,0.0,8.0,318.057,597.625,34.35436893203884,0.0,8.0,63.0
0,,0.0,8.0,1565.4029999999998,610.739,33.27427184466019,0.0,9.0,42.0
0,,0.0,8.0,1549.483,691.3389999999998,26.475728155339805,1.0,9.0,69.0
0,,0.0,8.0,134.6955,639.576,56.95145631067962,0.0,10.0,55.0
0,,0.0,8.0,101.04,642.234,37.63834951456311,1.0,10.0,50.0
0,,0.0,8.0,132.034,641.322,55.37135922330097,2.0,10.0,48.0
0,,0.0,8.0,244.229,699.515,35.91504854368932,0.0,11.0,49.0
0,,0.0,8.0,1773.5140000000001,768.961,26.893203883495143,0.0,12.0,64.0
0,,0.0,8.0,1754.6029999999996,751.3580000000002,47.25728155339806,1.0,12.0,67.0
0,,0.0,8.0,589.174,751.1410000000002,33.310679611650485,0.0,13.0,61.0
0,,0.0,8.0,1634.9615,884.7339999999999,27.648058252427184,0.0,14.0,63.0
0,,0.0,8.0,1655.8870000000004,883.262,27.49514563106796,1.0,14.0,60.0
0,,0.0,8.0,218.74,1072.336,26.95631067961165,0.0,15.0,53.0
0,,0.0,8.0,230.7415,1034.9555,25.726941747572816,1.0,15.0,54.5
0,,0.0,8.0,489.62249999999995,962.2260000000001,32.10436893203884,0.0,16.0,53.5
0,,0.0,8.0,489.714,957.72,29.145631067961165,1.0,16.0,48.0
0,,0.0,8.0,1027.048,1123.022,38.6371359223301,0.0,17.0,60.0
0,,0.0,8.0,1120.277,1040.627,37.50728155339806,1.0,17.0,55.0
0,,0.0,8.0,1112.807,1186.267,31.966019417475728,2.0,17.0,54.0
0,,0.0,8.0,1057.83,1210.295,35.62135922330097,3.0,17.0,54.0
0,,0.0,8.0,1122.1415,1040.6235,37.18446601941748,4.0,17.0,66.5
0,,0.0,8.0,1853.332,1139.09,28.96359223300971,0.0,18.0,50.0
0,,0.0,8.0,1842.5755,1145.953,24.864077669902912,1.0,18.0,52.0
0,,0.0,8.0,288.01099999999997,1125.7404999999999,37.61043689320388,0.0,19.0,58.0
0,,0.0,8.0,307.80350000000004,1213.7714999999998,38.07160194174757,1.0,19.0,63.0
0,,0.0,8.0,144.4765,1183.1055000000001,29.69417475728155,0.0,20.0,62.0
0,,0.0,8.0,170.65,1166.197,31.679611650485437,1.0,20.0,62.0
0,,0.0,8.0,849.3344999999999,1249.004,39.89320388349515,0.0,21.0,52.5
0,,0.0,8.0,877.913,1268.293,29.067961165048544,1.0,21.0,55.0
0,,0.0,8.0,612.2230000000002,1292.5075,32.748786407766985,0.0,22.0,53.5
0,,0.0,8.0,636.4024999999999,1333.712,32.95752427184466,1.0,22.0,49.0
0,,0.0,8.0,612.174,1295.43,33.407766990291265,2.0,22.0,43.0
0,,0.0,8.0,53.383,1367.642,28.91990291262136,0.0,23.0,58.0
0,,0.0,8.0,94.6935,1490.326,30.466019417475728,1.0,23.0,50.5
0,,0.0,8.0,240.939,1443.025,29.174757281553397,0.0,24.0,63.0
0,,0.0,8.0,263.213,1388.183,36.16990291262136,1.0,24.0,53.0
0,,0.0,8.0,1683.8094999999998,1552.925,28.440533980582522,0.0,25.0,59.5
